text,label
"Mình đã dùng anywhere thế_hệ đầu , quả_là đầy thất_vọng , hiện_tại đang vứt xó . Giá thì đắt , ngốn pin như ăn_gỏi , nặng",negative
"Quan_tâm nhất_là độ trễ có cao không , dùng thi_thoảng nó cứ trễ bực_mình , đấy mới chỉ là dùng văn_phòng chứ game thì chắc là ném đi từ lâu . Không biết con này có độ trễ không nhỉ . Dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi , gọn bấm nảy tốt",negative
"dag xài con cùi bắp 98k ... . pin trâu , mỗi_tội đánh liên_minh ức_chế đập hết 2 con",negative
logitech chắc hàng phải tiền triệu trở_lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư . chuyển sang eblue dùng được hơn năm chưa thấy hỏng .,negative
"﻿Đang xài con m_175 cùi mía , nhà xài nhiều chuột nên thử con này con kia chơi và kết_quả là sau 3 tháng và 4 con chuột khác_nhau đủ kiểu đa chức_năng mà h chỉ còn lại là con m_175 cùi mía còn xài dc : 3 h đi mua chuột là xác_định ko để mấy con nhân_viên vấy ngắn nó dụ nửa cứ logitech mà fan",negative
"Đang xài 2 con M185 , nút chuột giữa hai con đều như hạch . xài chưa được năm , scroll đã chạy bậy rồi . Hay mua phải đồ đểu hỉ ?",negative
﻿Con Anywhere_1 mình dùng bị double click cũng 3 lần rồi ... chán lắm,negative
"Hàng cty cấp , cấp xong vứt ở nhà , xài con Xornet cho đỡ mỏi tay . Cơ_mà vẫn thắc_mắc là dong thấp nhất , nhưng éo bằng con misumi giá bằng 1/3 .",negative
"﻿Magic_mouse mà ngon hơn mới_lạ , Magic_mouse chỉ_được_cái đẹp , pin thì ăn 2 tuần hết , ko di trên mọi bề_mặt được bạn nhé , bảo_hành thì hãng bảo_hành 1 năm , còn Logitech thì năm nhé # # chuột này em đang dùng , chuột magic_mouse bỏ tủ",negative
"em giống y bác luôn , chán bluetooth kinh_hồn , 1tr7 mà em không tưởng_tượng được độ chuối của bluetooth",negative
"Mình cũng giật kinh_khủng , cảm_thấy hơi nản về cái bluetooth của nó ... . . đã cập_nhật El_Capitan mới nhất , lúc đầu ko bị , 1 thời_gian sau lại giật lại như_thường",negative
"Mình đã lên 10.11.3 nhưng vẫn bị , đúng là tắt wifi đi thì ngon hơn hẵn ... . . Chán vãi , mua em noá để khỏi dùng USB receiver , mà thấy cái bluetooth nản vãi",negative
"﻿10.11.3_mac 13 "" 2015 mà ... ... . cảm_thấy chuột ko mượt ( khá là khó_chịu",negative
di_chuyển chuột ko mượt bạn ơi . Còn cáo Scroll cũng thấy bt nhưng chả biết sao cảm_giác ko thích lắm . Mới_đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy_ra mấy chi khi chịu thật .,negative
﻿Cập_Nhật tình_hình sau khi đi bảo_hành về bên logitech thông_báo chuột bình_thường khi kết_nối bluetooth với mac_air . Mình mang mac_pro ra ngoài svhouse kết_nối vs bluetooth con mv_anywerè_2 thì vẫn có hiện_tượng lag ... ... giờ mang về xài tạm chứ chả biết giải_quyết sao luôn . Tính làm cái mail gửi svhouse để hối_thúc bên logitech mà chả biết thế_nào ... . . mấy bạn xài mac_pro_10.11.3 kết_nối bluetooth thì bt à ? ? ? Chắc kiếm chuột khác cắm test thử xem sao quá .,negative
"có ai mua con này dùng lúc rê nó bị đứt_quãng không , e dùng thấy bị khó_chịu quá , rê nó không được đều .",negative
"Vừa đi bảo_hành con này nút middle . Chuột logitech cao_cấp hình_như không tốt . Trước_đây xài con M905 cũng bị lỗi double click ko sửa được . Cũng may , Thành_Nhân đổi cho con mới . Giờ đến con này thì cũng bị lỗi . Cho do mình xui",negative
